ParentLocation,Location,Period,FactValueNumeric
Americas,Costa Rica,2019,11
Europe,United Kingdom of Great Britain and Northern Ireland,2019,24.6
Americas,Canada,2019,25.2
Western Pacific,New Zealand,2019,25.7
Europe,Denmark,2019,26
Europe,Iceland,2019,28.3
Europe,Luxembourg,2019,42.6
Europe,Belgium,2019,55.8
Americas,Costa Rica,2018,11.1
Western Pacific,Republic of Korea,2018,124.3
Western Pacific,Japan,2018,129.8
Americas,Colombia,2018,17.1
Americas,Chile,2018,20.6
Europe,Sweden,2018,21.4
Europe,Denmark,2018,24.3
Europe,United Kingdom of Great Britain and Northern Ireland,2018,25
Americas,Canada,2018,25.5
Western Pacific,New Zealand,2018,26.2
Europe,Turkey,2018,28.5
Europe,Iceland,2018,28.7
Europe,Ireland,2018,29.7
Europe,Spain,2018,29.7
Europe,Israel,2018,29.8
Europe,Italy,2018,31.4
Europe,Netherlands,2018,31.7
Europe,Portugal,2018,34.5
Europe,Norway,2018,35.3
Europe,Finland,2018,36.1
Europe,Greece,2018,42
Europe,Slovenia,2018,44.3
Europe,Luxembourg,2018,45.1
Europe,Estonia,2018,45.7
Europe,Switzerland,2018,46.3
Europe,Latvia,2018,54.9
Europe,Belgium,2018,56.2
Europe,Slovakia,2018,57
Europe,France,2018,59.1
Europe,Lithuania,2018,64.3
Europe,Poland,2018,65.4
Europe,Czechia,2018,66.2
Europe,Hungary,2018,70.1
Europe,Russian Federation,2018,71.2
Europe,Austria,2018,72.7
Americas,Mexico,2018,9.8
Eastern Mediterranean,Morocco,2017,10
Americas,Belize,2017,10.36
South-East Asia,Indonesia,2017,10.4
South-East Asia,Myanmar,2017,10.44
Americas,Costa Rica,2017,11.4
Americas,El Salvador,2017,11.99
Eastern Mediterranean,Qatar,2017,12.5
Americas,Bolivia (Plurinational State of),2017,12.93
Americas,Saint Lucia,2017,12.97
Western Pacific,Republic of Korea,2017,122.7
Eastern Mediterranean,Iraq,2017,13.2
Eastern Mediterranean,United Arab Emirates,2017,13.8
Western Pacific,Japan,2017,130.5
Eastern Mediterranean,Djibouti,2017,14
Eastern Mediterranean,Syrian Arab Republic,2017,14
Eastern Mediterranean,Egypt,2017,14.3
Eastern Mediterranean,Jordan,2017,14.7
Eastern Mediterranean,Oman,2017,14.7
Americas,Dominican Republic,2017,15.56
Eastern Mediterranean,Iran (Islamic Republic of),2017,15.6
Americas,Peru,2017,15.91
Americas,Colombia,2017,17
Americas,Jamaica,2017,17.17
Eastern Mediterranean,Bahrain,2017,17.4
Western Pacific,Malaysia,2017,18.77
Eastern Mediterranean,Kuwait,2017,20.4
Americas,Brazil,2017,20.87
Americas,Chile,2017,21.1
Eastern Mediterranean,Tunisia,2017,21.8
Europe,Sweden,2017,22.1
Eastern Mediterranean,Saudi Arabia,2017,22.4
Americas,Uruguay,2017,24.25
Western Pacific,Singapore,2017,24.86
Americas,Canada,2017,25.3
Europe,United Kingdom of Great Britain and Northern Ireland,2017,25.4
Europe,Denmark,2017,26.1
Eastern Mediterranean,Lebanon,2017,27.3
Western Pacific,New Zealand,2017,27.3
Europe,Türkiye,2017,28.1
Western Pacific,Brunei Darussalam,2017,28.5
Americas,United States of America,2017,28.7
Americas,Antigua and Barbuda,2017,28.92
Americas,Bahamas,2017,29.57
Europe,Ireland,2017,29.7
Europe,Spain,2017,29.7
Eastern Mediterranean,Afghanistan,2017,3.9
Africa,Niger,2017,3.9
Americas,Suriname,2017,30.01
Europe,Israel,2017,30.2
Americas,Trinidad and Tobago,2017,30.24
Europe,Iceland,2017,30.6
Europe,Italy,2017,31.8
Eastern Mediterranean,Libya,2017,32
Europe,Finland,2017,32.8
Europe,Netherlands,2017,32.8
Europe,Portugal,2017,33.9
Europe,Cyprus,2017,34
Americas,Grenada,2017,35.71
Europe,Norway,2017,36
Europe,Montenegro,2017,38.61
Americas,Guatemala,2017,4.41
South-East Asia,Sri Lanka,2017,41.5
Europe,Greece,2017,42.1
Europe,The former Yugoslav Republic of Macedonia,2017,42.8
Western Pacific,China,2017,43.1
Europe,Malta,2017,44.85
Europe,Slovenia,2017,45
Europe,Switzerland,2017,46.5
Europe,Luxembourg,2017,46.6
Europe,Estonia,2017,46.9
Americas,Argentina,2017,49.92
South-East Asia,India,2017,5.3
Americas,Cuba,2017,53.31
Europe,Croatia,2017,55.4
Europe,Latvia,2017,55.7
Europe,Serbia,2017,56.09
Europe,Belgium,2017,56.6
Europe,Slovakia,2017,58.2
Americas,Barbados,2017,59.67
Europe,France,2017,59.8
Eastern Mediterranean,Pakistan,2017,6.3
Americas,Honduras,2017,6.43
Europe,Lithuania,2017,65.6
Europe,Poland,2017,66.2
Europe,Czechia,2017,66.3
Europe,Romania,2017,68.92
Eastern Mediterranean,Yemen,2017,7.1
Eastern Mediterranean,Sudan,2017,7.4
Europe,Hungary,2017,70.2
Europe,Austria,2017,73.7
Europe,Bulgaria,2017,74.54
Eastern Mediterranean,Somalia,2017,8.7
Americas,Venezuela (Bolivarian Republic of),2017,8.71
Europe,Germany,2017,80
Western Pacific,Mongolia,2017,80
Europe,Russian Federation,2017,80.5
Americas,Nicaragua,2017,9.3
Americas,Mexico,2017,9.9
Americas,Mexico,2016,10
South-East Asia,Myanmar,2016,10.4
Americas,El Salvador,2016,10.57
Eastern Mediterranean,Morocco,2016,11
Americas,Costa Rica,2016,11.5
Western Pacific,Republic of Korea,2016,119.8
Eastern Mediterranean,Qatar,2016,12
Americas,Belize,2016,12.15
Americas,Bolivia (Plurinational State of),2016,12.66
Eastern Mediterranean,Iraq,2016,13
Eastern Mediterranean,United Arab Emirates,2016,13.6
Americas,Ecuador,2016,13.93
Western Pacific,Japan,2016,131.1
Eastern Mediterranean,Djibouti,2016,14
Eastern Mediterranean,Jordan,2016,14
Eastern Mediterranean,Egypt,2016,14.3
Americas,Dominican Republic,2016,14.37
Eastern Mediterranean,Syrian Arab Republic,2016,14.6
Eastern Mediterranean,Oman,2016,14.9
Americas,Peru,2016,15.92
Western Pacific,Malaysia,2016,16.19
Americas,Colombia,2016,16.8
Eastern Mediterranean,Iran (Islamic Republic of),2016,17
Americas,Guyana,2016,17.15
Americas,Jamaica,2016,17.82
Western Pacific,Kiribati,2016,18.6
Eastern Mediterranean,Bahrain,2016,18.9
Western Pacific,Fiji,2016,19.98
Americas,Guatemala,2016,2.56
Eastern Mediterranean,Kuwait,2016,20.4
Americas,Brazil,2016,21.13
Americas,Chile,2016,21.2
Eastern Mediterranean,Tunisia,2016,21.8
Eastern Mediterranean,Saudi Arabia,2016,22.3
Americas,Panama,2016,22.54
Europe,Sweden,2016,23.4
Americas,Uruguay,2016,24.83
Western Pacific,Singapore,2016,24.84
Europe,United Kingdom of Great Britain and Northern Ireland,2016,25.7
Americas,Canada,2016,26
Europe,Denmark,2016,26
Eastern Mediterranean,Lebanon,2016,27.3
Western Pacific,New Zealand,2016,27.4
Europe,Türkiye,2016,27.5
Western Pacific,Brunei Darussalam,2016,27.56
Americas,United States of America,2016,27.7
Europe,Ireland,2016,29.6
Europe,Spain,2016,29.7
Europe,Israel,2016,29.9
Africa,Ethiopia,2016,3.3
Americas,Antigua and Barbuda,2016,30.11
Americas,Trinidad and Tobago,2016,30.33
Europe,Iceland,2016,31.3
Europe,Italy,2016,31.7
Europe,Portugal,2016,33.9
Europe,Netherlands,2016,34.1
Europe,Cyprus,2016,34.27
Americas,Grenada,2016,35.78
Europe,Norway,2016,36.8
Eastern Mediterranean,Libya,2016,37
Western Pacific,Australia,2016,38.4
Europe,Montenegro,2016,39.31
Europe,Finland,2016,39.7
South-East Asia,India,2016,4.8
Western Pacific,China,2016,40.2
Europe,Greece,2016,42
Americas,Saint Vincent and the Grenadines,2016,43.23
Europe,The former Yugoslav Republic of Macedonia,2016,43.71
Europe,Slovenia,2016,44.9
Europe,Malta,2016,46.71
Europe,Switzerland,2016,46.9
Europe,Estonia,2016,47.6
Europe,Luxembourg,2016,48.1
Americas,Argentina,2016,49.48
Eastern Mediterranean,Afghanistan,2016,5
Americas,Cuba,2016,53.19
Europe,Croatia,2016,54.93
Europe,Serbia,2016,55.9
Europe,Latvia,2016,57.2
Europe,Belgium,2016,57.6
Europe,Slovakia,2016,57.8
Americas,Barbados,2016,58.91
Eastern Mediterranean,Pakistan,2016,6.3
Americas,Honduras,2016,6.43
Europe,France,2016,60.6
Europe,Poland,2016,66.4
Europe,Czechia,2016,66.6
Europe,Lithuania,2016,66.9
Eastern Mediterranean,Sudan,2016,67.4
Europe,Romania,2016,68.4
Eastern Mediterranean,Yemen,2016,7.1
South-East Asia,Bangladesh,2016,7.95
Europe,Hungary,2016,70
Western Pacific,Mongolia,2016,70
Europe,Bulgaria,2016,72.7
Europe,Austria,2016,74.2
Americas,Paraguay,2016,8.28
Americas,Venezuela (Bolivarian Republic of),2016,8.59
Eastern Mediterranean,Somalia,2016,8.7
Europe,Germany,2016,80.6
Europe,Russian Federation,2016,81.6
Western Pacific,Cambodia,2016,9
Americas,Nicaragua,2016,9.26
South-East Asia,Indonesia,2016,9.9
Americas,Mexico,2015,10
Americas,El Salvador,2015,10.18
Eastern Mediterranean,Morocco,2015,11
Eastern Mediterranean,United Arab Emirates,2015,11
Americas,Bolivia (Plurinational State of),2015,11.25
Americas,Costa Rica,2015,11.6
Western Pacific,Republic of Korea,2015,116.1
Eastern Mediterranean,Qatar,2015,12
Eastern Mediterranean,Iraq,2015,13.8
Eastern Mediterranean,Jordan,2015,13.8
Western Pacific,Japan,2015,131.7
Eastern Mediterranean,Djibouti,2015,14
Americas,Saint Lucia,2015,14.11
Eastern Mediterranean,Syrian Arab Republic,2015,14.7
Eastern Mediterranean,Iran (Islamic Republic of),2015,15
Americas,Peru,2015,15.49
Eastern Mediterranean,Egypt,2015,15.6
Eastern Mediterranean,Oman,2015,15.6
Americas,Ecuador,2015,15.75
Americas,Dominican Republic,2015,15.8
Americas,Colombia,2015,16.1
Americas,Jamaica,2015,16.94
Western Pacific,Malaysia,2015,18.6
Western Pacific,Fiji,2015,18.68
Africa,Algeria,2015,19
Eastern Mediterranean,Bahrain,2015,19.5
Eastern Mediterranean,Kuwait,2015,20.4
Americas,Chile,2015,21.4
Americas,Brazil,2015,21.45
Eastern Mediterranean,Tunisia,2015,21.8
Eastern Mediterranean,Saudi Arabia,2015,22
Americas,Panama,2015,22.85
Western Pacific,Singapore,2015,23.95
Americas,Uruguay,2015,24.34
Europe,Sweden,2015,24.4
Europe,Denmark,2015,25.3
Europe,United Kingdom of Great Britain and Northern Ireland,2015,26.1
Americas,Canada,2015,26.2
Europe,Türkiye,2015,26.8
Western Pacific,New Zealand,2015,27.2
Western Pacific,Brunei Darussalam,2015,27.7
Americas,United States of America,2015,28
Americas,Bahamas,2015,28.33
Europe,Ireland,2015,29.2
Europe,Spain,2015,29.8
Africa,Niger,2015,3.1
Americas,Trinidad and Tobago,2015,30.1
Europe,Israel,2015,30.3
Americas,Suriname,2015,30.46
Europe,Iceland,2015,31.2
Europe,Italy,2015,32
Eastern Mediterranean,Lebanon,2015,33.7
Europe,Portugal,2015,33.7
Europe,Cyprus,2015,34.15
Europe,Netherlands,2015,34.9
Americas,Antigua and Barbuda,2015,36.13
Eastern Mediterranean,Libya,2015,37
Europe,Norway,2015,37.6
Americas,Grenada,2015,37.82
Western Pacific,China,2015,37.9
Western Pacific,Australia,2015,38.2
Europe,Montenegro,2015,39.32
Europe,Greece,2015,42.5
Americas,Saint Vincent and the Grenadines,2015,43.3
Europe,Finland,2015,43.5
Europe,The former Yugoslav Republic of Macedonia,2015,43.88
Europe,Slovenia,2015,45.1
Europe,Malta,2015,45.86
Europe,Switzerland,2015,47.3
Europe,Luxembourg,2015,49.3
Americas,Argentina,2015,49.55
Europe,Estonia,2015,49.6
Eastern Mediterranean,Afghanistan,2015,5
South-East Asia,India,2015,5.8
Americas,Guatemala,2015,5.83
Americas,Cuba,2015,52.4
Europe,Croatia,2015,55.63
Europe,Serbia,2015,55.8
Europe,Latvia,2015,56.9
Europe,Slovakia,2015,57.5
Europe,Belgium,2015,58.3
Americas,Barbados,2015,58.97
Eastern Mediterranean,Pakistan,2015,6
Americas,Honduras,2015,6.64
Eastern Mediterranean,Sudan,2015,6.7
Europe,France,2015,61.3
Europe,Poland,2015,66.3
Europe,Czechia,2015,66.7
Europe,Romania,2015,67.91
Europe,Lithuania,2015,69.7
Europe,Hungary,2015,69.9
Eastern Mediterranean,Yemen,2015,7.1
Americas,Venezuela (Bolivarian Republic of),2015,7.32
South-East Asia,Bangladesh,2015,7.7
Americas,Paraguay,2015,7.84
Western Pacific,Mongolia,2015,70
Europe,Bulgaria,2015,72.35
Europe,Austria,2015,75.4
Western Pacific,Cambodia,2015,8
Eastern Mediterranean,Somalia,2015,8.7
Europe,Germany,2015,81.3
Europe,Russian Federation,2015,83.5
Americas,Nicaragua,2015,9.31
South-East Asia,Indonesia,2015,9.8
Eastern Mediterranean,United Arab Emirates,2014,0.12
Americas,Mexico,2014,10.3
Europe,Belarus,2014,108.3
Eastern Mediterranean,Morocco,2014,11
Americas,Bolivia (Plurinational State of),2014,11.48
Americas,Costa Rica,2014,11.7
Western Pacific,Republic of Korea,2014,115.9
Eastern Mediterranean,Qatar,2014,12
Americas,Belize,2014,12.68
Americas,El Salvador,2014,13.52
Eastern Mediterranean,Iraq,2014,13.8
Western Pacific,Japan,2014,132.1
Eastern Mediterranean,Djibouti,2014,14
Eastern Mediterranean,Iran (Islamic Republic of),2014,15
Eastern Mediterranean,Syrian Arab Republic,2014,15
Americas,Ecuador,2014,15.49
Americas,Peru,2014,15.59
Eastern Mediterranean,Egypt,2014,15.6
Eastern Mediterranean,Oman,2014,15.8
Americas,Colombia,2014,15.9
Americas,Guyana,2014,17.2
Americas,Dominican Republic,2014,17.9
Western Pacific,Fiji,2014,18.5
Eastern Mediterranean,Jordan,2014,18.9
Eastern Mediterranean,Bahrain,2014,20.3
Eastern Mediterranean,Kuwait,2014,20.4
Americas,Chile,2014,21.2
Eastern Mediterranean,Tunisia,2014,21.8
Americas,Brazil,2014,22.16
Americas,Panama,2014,22.41
Western Pacific,Singapore,2014,22.45
Americas,Saint Vincent and the Grenadines,2014,24.05
Americas,Uruguay,2014,24.2
Western Pacific,Brunei Darussalam,2014,24.25
Europe,Sweden,2014,25.4
Europe,Ireland,2014,25.7
Eastern Mediterranean,Saudi Arabia,2014,26.5
Americas,Canada,2014,26.7
Europe,Türkiye,2014,26.8
Europe,Denmark,2014,26.9
Europe,United Kingdom of Great Britain and Northern Ireland,2014,27.3
Western Pacific,New Zealand,2014,27.6
Americas,Bahamas,2014,27.63
Americas,United States of America,2014,28.3
Eastern Mediterranean,Lebanon,2014,28.5
Europe,Georgia,2014,28.94
Europe,Spain,2014,29.7
Americas,Trinidad and Tobago,2014,29.89
Europe,Israel,2014,30.8
Europe,Iceland,2014,31.6
Europe,Italy,2014,32.1
Europe,Portugal,2014,33.2
Europe,Cyprus,2014,34.16
Europe,Bosnia and Herzegovina,2014,34.93
Americas,Antigua and Barbuda,2014,35.5
Western Pacific,China,2014,35.5
Eastern Mediterranean,Libya,2014,37
Western Pacific,Australia,2014,37.9
Americas,Grenada,2014,37.98
Europe,Norway,2014,38.4
Europe,Montenegro,2014,39.34
Europe,Uzbekistan,2014,39.78
Europe,Turkmenistan,2014,40.28
Europe,Armenia,2014,41.63
Europe,Greece,2014,42.4
Europe,The former Yugoslav Republic of Macedonia,2014,43.96
Europe,Kyrgyzstan,2014,44.13
Europe,Finland,2014,45.3
Europe,Slovenia,2014,45.4
Europe,Malta,2014,45.89
Europe,Tajikistan,2014,46.67
Europe,Switzerland,2014,47.3
Europe,Azerbaijan,2014,48.22
Americas,Argentina,2014,48.43
Eastern Mediterranean,Afghanistan,2014,5
South-East Asia,India,2014,5.2
Europe,Estonia,2014,50.1
Europe,Luxembourg,2014,50.5
Americas,Cuba,2014,51.57
Europe,Serbia,2014,55.25
Europe,Latvia,2014,56.6
Europe,Republic of Moldova,2014,56.61
Europe,Slovakia,2014,57.9
Europe,Belgium,2014,58.5
Europe,Croatia,2014,59.1
Americas,Barbados,2014,59.25
South-East Asia,Bangladesh,2014,6
Eastern Mediterranean,Pakistan,2014,6
Americas,Guatemala,2014,6.15
Americas,Honduras,2014,6.32
Europe,Kazakhstan,2014,60.57
Europe,France,2014,62
Europe,Poland,2014,66.3
Europe,Czechia,2014,66.8
Europe,Romania,2014,67.12
Europe,Hungary,2014,69.8
Eastern Mediterranean,Yemen,2014,7.1
Americas,Venezuela (Bolivarian Republic of),2014,7.8
Africa,Burundi,2014,7.9
Europe,Bulgaria,2014,71.3
Europe,Lithuania,2014,72.6
Europe,Ukraine,2014,74.63
Europe,Austria,2014,75.8
Americas,Paraguay,2014,8.28
Eastern Mediterranean,Somalia,2014,8.7
Eastern Mediterranean,Sudan,2014,80.1
Europe,Germany,2014,82.3
Europe,Russian Federation,2014,88.1
Americas,Nicaragua,2014,9.29
South-East Asia,Indonesia,2014,9.4
Western Pacific,Philippines,2014,9.9
Americas,Mexico,2013,10.3
Americas,El Salvador,2013,10.73
Western Pacific,Republic of Korea,2013,109.2
Americas,Bolivia (Plurinational State of),2013,11.18
Eastern Mediterranean,United Arab Emirates,2013,11.5
Americas,Costa Rica,2013,11.8
Americas,Saint Lucia,2013,11.96
Europe,Belarus,2013,110.5
Eastern Mediterranean,Iraq,2013,13
Western Pacific,Japan,2013,133
Eastern Mediterranean,Qatar,2013,14
Eastern Mediterranean,Djibouti,2013,14.2
Eastern Mediterranean,Iran (Islamic Republic of),2013,15
Americas,Ecuador,2013,15.11
Americas,Peru,2013,15.11
Eastern Mediterranean,Syrian Arab Republic,2013,15.2
Americas,Colombia,2013,15.4
Americas,Jamaica,2013,16.64
Eastern Mediterranean,Oman,2013,17.1
Americas,Dominican Republic,2013,17.9
Eastern Mediterranean,Jordan,2013,18
Eastern Mediterranean,Bahrain,2013,20.8
Eastern Mediterranean,Tunisia,2013,21.2
Americas,Chile,2013,21.7
Western Pacific,Singapore,2013,21.86
Western Pacific,Fiji,2013,21.88
Eastern Mediterranean,Kuwait,2013,22
Eastern Mediterranean,Saudi Arabia,2013,22
Americas,Brazil,2013,22.51
Americas,Panama,2013,22.99
Americas,Saint Vincent and the Grenadines,2013,24.06
Western Pacific,Brunei Darussalam,2013,24.2
Americas,Uruguay,2013,24.92
Europe,Ireland,2013,25.6
Europe,Georgia,2013,25.85
Europe,Sweden,2013,25.9
Europe,Türkiye,2013,26.5
Americas,Trinidad and Tobago,2013,27.04
Americas,Canada,2013,27.2
Europe,United Kingdom of Great Britain and Northern Ireland,2013,27.6
Western Pacific,New Zealand,2013,27.8
Americas,Bahamas,2013,28.47
Eastern Mediterranean,Lebanon,2013,28.6
Europe,Albania,2013,28.89
Americas,United States of America,2013,28.9
Europe,Spain,2013,29.6
Europe,Denmark,2013,30.7
Europe,Israel,2013,30.9
Western Pacific,Viet Nam,2013,31.8
Europe,Iceland,2013,32.2
Western Pacific,China,2013,32.9
Europe,Italy,2013,33.1
Europe,Portugal,2013,33.9
Europe,Cyprus,2013,34.09
Europe,Bosnia and Herzegovina,2013,34.99
Americas,Antigua and Barbuda,2013,35.98
Europe,Netherlands,2013,36.1
Eastern Mediterranean,Libya,2013,37
Western Pacific,Australia,2013,37.4
Americas,Grenada,2013,38.15
Europe,Norway,2013,38.6
Europe,Montenegro,2013,38.89
Europe,Turkmenistan,2013,39.34
Europe,Uzbekistan,2013,39.94
South-East Asia,India,2013,4.9
Europe,Armenia,2013,40.6
Europe,Greece,2013,42.4
Europe,The former Yugoslav Republic of Macedonia,2013,44.46
Europe,Kyrgyzstan,2013,45.12
Europe,Slovenia,2013,45.5
Europe,Azerbaijan,2013,46.88
Europe,Tajikistan,2013,47.56
Europe,Malta,2013,47.75
Americas,Argentina,2013,47.79
Europe,Switzerland,2013,48.5
Europe,Finland,2013,48.7
Eastern Mediterranean,Egypt,2013,5.2
Eastern Mediterranean,Afghanistan,2013,5.3
Europe,Estonia,2013,50.1
Americas,Cuba,2013,50.54
Europe,Luxembourg,2013,51.7
Europe,Serbia,2013,54.99
Europe,Latvia,2013,58
Europe,Slovakia,2013,58
Europe,Republic of Moldova,2013,58.34
Europe,Croatia,2013,58.6
Europe,Belgium,2013,59.3
Eastern Mediterranean,Pakistan,2013,6
Americas,Honduras,2013,6.54
Eastern Mediterranean,Yemen,2013,6.7
Europe,France,2013,62.8
Americas,Barbados,2013,63.36
Europe,Poland,2013,66.1
Europe,Romania,2013,66.73
Europe,Czechia,2013,67
Europe,Kazakhstan,2013,67.18
Europe,Bulgaria,2013,68.16
Western Pacific,Cambodia,2013,7
Americas,Haiti,2013,7.07
Europe,Hungary,2013,70.4
Europe,Lithuania,2013,73.1
Europe,Austria,2013,76.4
Eastern Mediterranean,Sudan,2013,8.2
Eastern Mediterranean,Morocco,2013,8.5
Eastern Mediterranean,Somalia,2013,8.7
Americas,Belize,2013,8.86
Europe,Germany,2013,82.8
Europe,Ukraine,2013,87.98
Americas,Nicaragua,2013,9.51
South-East Asia,Indonesia,2013,9.9
Western Pacific,Philippines,2013,9.9
Europe,Russian Federation,2013,90.7
Americas,Mexico,2012,10.3
Western Pacific,Philippines,2012,10.5
Americas,El Salvador,2012,10.7
Eastern Mediterranean,United Arab Emirates,2012,10.7
Americas,Belize,2012,10.81
Western Pacific,Republic of Korea,2012,102.5
Americas,Bolivia (Plurinational State of),2012,11.01
Europe,Belarus,2012,112.7
Americas,Costa Rica,2012,12
